Region,centrality_pos,centrality_neg,partition,pc_pos,pc_neg,wmdz
Agranular insular area,44.6496733014,-14.8439763209,1.0,0.4555716835620857,0.3881285485043455,0.7924508266662477
Agranular insular area posterior part,41.821918400600005,-6.4063356368,2.0,0.5616842464635794,0.5881033234853734,0.5916322139181713
Agranular insular area ventral part,52.37067390600001,-13.8105163578,1.0,0.5080009880047524,0.1775833822792082,1.397007849736589
Anterior amygdalar area,56.06321910729999,-9.923873798899999,3.0,0.6211572632013274,0.06800945856081053,0.2513998235795333
Anterior cingulate area dorsal part,49.48415079491999,-16.13400572211,1.0,0.5258483464296393,0.00579412606960561,-0.3429209685417092
Anterior cingulate area ventral part,44.33700731644999,-19.617933361100004,1.0,0.4352956906396463,0.09525748352273888,0.6684593821560038
Anterior hypothalamic nucleus,40.832822208600014,-18.807717393000004,3.0,0.5278587007425528,0.02962711074025381,0.7385139098389284
Anterodorsal nucleus,39.37616944506001,-9.20098420712,2.0,0.5219436792513164,0.3006800961991828,0.5952395465859361
Anterolateral visual area,12.895431949730002,-40.432292282800006,3.0,0.4108215067955415,0.5245716741799883,-2.310023068117627
Anteroventral nucleus of thalamus,39.805376932499996,-8.7790561589,2.0,0.4992532887917555,0.4365050597867338,0.8771687042490489
Anteroventral periventricular nucleus,46.7771094918,-12.021576462199999,1.0,0.4981459709799017,0.4717004068059213,0.5412672804315664
Anteroventral preoptic nucleus,47.7993259126,-7.6084117478,2.0,0.577633583525335,0.4305728863681659,0.04036306171090046
Basolateral amygdalar nucleus,12.090777740179998,-38.40113711570002,3.0,0.4897432558917391,0.5398201031888915,-2.854148139802938
Bed nuclei of the stria terminalis,53.22376573080001,-8.5485664936,1.0,0.6372096844422527,0.08666851095157047,-1.118787592314365
Caudoputamen,43.69110842997001,-7.29545316373,2.0,0.5342881431779984,0.605422075625538,1.027880762416417
Central amygdalar nucleus,35.90711104941,-17.615623914170005,3.0,0.5446957329358246,0.2469046669307404,0.8122634920060731
Central lateral nucleus of the thalamus,45.79294427517999,-6.099771421700002,2.0,0.5870909388913982,0.6630117070089916,0.7278115828105344
Central medial nucleus of the thalamus,45.0917395502,-11.324001138089997,1.0,0.5407205412760433,0.4795325513645963,-1.242191395088775
Claustrum,55.26452028369998,-9.3511273575,1.0,0.5977710804759018,0.1966349785687218,0.3859621047995503
Cortical amygdalar area,46.27193745728001,-9.7114510284,3.0,0.6336144054579105,0.07746454622294197,0.7548973736553978
Cortical amygdalar area posterior part,43.958921360100014,-10.845102226999996,3.0,0.6202187122939555,0.117458406916007,0.7825166250971619
Culmen,40.506738183200014,-19.449162333500002,3.0,0.5166498778344699,0.01750423835002468,-0.0390845414527267
Dentate gyrus,27.259443242500005,-19.186328939740005,2.0,0.5018686531202099,0.314319451153493,-0.5533567716728245
Diagonal band nucleus,53.43635116950999,-6.273558478599999,1.0,0.5948840138970617,0.4635804110934352,0.02280769553355709
Dorsal auditory area,30.36099932298001,-19.657045228219996,2.0,0.5222686075732117,0.428151982546893,-0.7201899900067766
Dorsal part of the lateral geniculate complex,25.94987301039999,-27.632824691299998,2.0,0.1709592469305149,0.4987073054334479,0.6118290718882966
Dorsal peduncular area,13.578160027560003,-35.055516860800005,2.0,0.1947708596872062,0.6143685468550746,-1.407438312067905
Dorsomedial nucleus of the hypothalamus,48.71199719299998,-15.935959698999994,1.0,0.4616342016675387,0.1409889069831561,1.426244415734652
Ectorhinal area,42.32139756539999,-7.449945259100001,1.0,0.6474810014349774,0.4043108980471936,-3.085801815916225
Endopiriform nucleus,14.838988539919999,-21.255513356810003,2.0,0.5070298048432222,0.6053852857891286,-1.601118599291795
Entorhinal area lateral part,32.136739712460006,-16.805183499699996,2.0,0.499825523429639,0.31898198486617,-0.08315276786482714
Entorhinal area medial part,29.902916192299983,-20.888003809300002,2.0,0.2948047870426942,0.2892695641019241,0.6419314571723964
Field CA1,23.8838339605,-32.370506422030005,2.0,0.2072678017274407,0.3118582786097093,0.1767953414361124
Field CA2,16.32925827866,-38.63237434879002,2.0,0.3505583917053432,0.4652420648921306,-1.19661812227571
Field CA3,22.886062610899987,-31.034628756899995,2.0,0.4159071656191627,0.3406955295729328,-0.7001202014005699
Frontal pole cerebral cortex,22.321247288419993,-29.035316675400004,2.0,0.4967117873890307,0.4828549148394576,-1.55577992023864
Fundus of striatum,52.8691271276,-4.891107076070001,1.0,0.6552009161278116,0.517901805557563,-2.293183495062121
Globus pallidus external segment,25.46109064691001,-22.069991622810004,2.0,0.24482318044147,0.2784699654830949,0.3257775751134958
Gustatory areas,53.016517450100004,-11.918713956130999,1.0,0.52738357252776,0.2172744968811525,1.406920587740979
Inferior colliculus,15.029723451750003,-39.28652552273,2.0,0.4998884709325925,0.4592823092582088,-2.456284021073655
Infralimbic area,17.96866547608001,-26.248616167131004,2.0,0.5083577103523712,0.557470103976495,-1.946408517716512
Intercalated amygdalar nucleus,39.911896865360006,-10.956730295620002,2.0,0.5213639344577212,0.4761912375261734,0.5631207222246679
Interpeduncular nucleus,34.89619586205001,-21.519329351100005,1.0,0.3379972493354971,0.3078804147998803,-0.270101874380869
Lateral amygdalar nucleus,16.119687909949995,-24.22543259245,2.0,0.2984621754767521,0.5981479509798654,-0.915765718492444
Lateral dorsal nucleus of thalamus,36.51409793430002,-15.131335035699996,2.0,0.3303714557663958,0.4787502961502191,1.308674250330699
Lateral habenula,33.54170452148,-11.301184491730004,2.0,0.5054701456283057,0.400240786563793,0.1675832739855972
Lateral hypothalamic area,50.85494025620001,-6.27489038905,3.0,0.6650941834185495,0.1071622543267919,-0.6929643236882008
Lateral posterior nucleus of the thalamus,39.023799498263,-12.060863526969998,2.0,0.4550761285657512,0.462345964049292,0.9640379085600159
Lateral preoptic area,45.43855439602002,-7.248675688599999,3.0,0.6655482199294318,0.08651435665027873,-0.8978846288771672
Lateral septal complex,48.062775233800004,-14.606239566400001,1.0,0.479362584604896,0.1490980598882035,1.16467113011997
Lateral visual area,22.67389149916,-28.881828937310004,3.0,0.4042339254734025,0.3839772184340916,-0.2653891011133058
Magnocellular nucleus,54.76235866849999,-12.386533343500004,1.0,0.5778729572430508,0.05074910527450105,-0.03114686839713569
Medial amygdalar nucleus,24.232217457799994,-19.783914574399994,3.0,0.5587143127327012,0.524504816154891,-1.892114925552756
Medial geniculate complex,36.178996264799984,-15.769984944719994,3.0,0.5943631313073114,0.4158136316287961,0.3577972038663997
Medial habenula,30.696505440549995,-21.19807281342,1.0,0.3066605169044708,0.09093438173756963,-1.110687197162241
Medial preoptic area,57.330635806239975,-10.1698172661,1.0,0.5986578775768626,0.1246274998603407,0.4728577721864018
Medial preoptic nucleus,56.09742007705995,-10.292007448,1.0,0.5933448289132266,0.1255228992573573,0.5236802328442468
Medial pretectal area,26.124205616465993,-25.521403550500004,1.0,0.3163885729100818,0.07159757950153112,-2.361860015827514
Medial septal nucleus,41.446065781199984,-20.184874550480004,1.0,0.428507352556566,0.1609959384817019,0.2694957114000464
Median preoptic nucleus,44.58481019741002,-12.13150156835,1.0,0.5118603413242926,0.4999614325425195,-0.4488926500855543
Mediodorsal nucleus of thalamus,43.6770267863,-7.508089530199999,2.0,0.5333089485329565,0.415173554637808,0.9640760143803733
Midbrain reticular nucleus,45.64976747467,-11.1939706401269,3.0,0.6128700676194687,0.01365734701152954,0.963713629528627
Nucleus accumbens,52.35574639049998,-11.794238896650002,1.0,0.5393603839263039,0.2333355474409534,0.8624000305347642
Olfactory tubercle,50.34163693479999,-4.774959342939999,2.0,0.6101317613504462,0.501100594992284,-0.04414922776651133
Olivary pretectal nucleus,37.62445017237,-18.979503843700005,1.0,0.3453623956790951,0.3186564062307845,0.3051603360089144
Orbital area lateral part,13.853001475449998,-39.20429512159002,2.0,0.457555369937823,0.5991416925603662,-2.423162050466159
Orbital area medial part,41.957497382880014,-11.978494418000002,1.0,0.5418624158524616,0.4448145238043032,-0.8236418947454635
Orbital area ventrolateral part,17.64883283678,-33.30229628737,2.0,0.4586245441835436,0.5374684141641997,-1.725186349483979
Parasubiculum,34.69390534289002,-19.523053765,3.0,0.5175694137720159,0.2194781000185144,0.8433265333448948
Parasubthalamic nucleus,41.90564126906,-16.636532526499998,1.0,0.5515689885771902,0.0,-1.710506062891317
Parataenial nucleus,50.06216445799999,-8.36902169397,1.0,0.5512930619174097,0.4535843681912866,0.2761597151654749
Paraventricular hypothalamic nucleus,38.235512642100026,-18.637005388426903,1.0,0.361368812156969,0.3505501707083827,0.3110330926519593
Paraventricular nucleus of the thalamus,39.323782674217995,-14.903075396000004,1.0,0.4132263487323871,0.3051744884798321,0.05723855603716684
Pedunculopontine nucleus,34.8473131899,-17.534841102,3.0,0.5606407170788312,0.3695039376468195,0.6172224143792663
